seed,vehicles_count,delay_steps,delay_ms,policy,collided,min_ttc,steps
20000,20,0,0.0,idle,1,,62
20001,20,0,0.0,idle,0,,100
20002,20,0,0.0,idle,1,,76
20003,20,0,0.0,idle,1,,20
20004,20,0,0.0,idle,0,,100
20005,20,0,0.0,idle,1,,83
20006,20,0,0.0,idle,1,,72
20007,20,0,0.0,idle,0,,100
20008,20,0,0.0,idle,0,,100
20009,20,0,0.0,idle,1,,21
20100,20,1,200.0,idle,0,,100
20101,20,1,200.0,idle,1,,27
20102,20,1,200.0,idle,0,,100
20103,20,1,200.0,idle,1,,19
20104,20,1,200.0,idle,0,,100
20105,20,1,200.0,idle,1,,78
20106,20,1,200.0,idle,0,,100
20107,20,1,200.0,idle,0,,100
20108,20,1,200.0,idle,0,,100
20109,20,1,200.0,idle,1,,47
20200,20,2,400.0,idle,1,,45
20201,20,2,400.0,idle,0,,100
20202,20,2,400.0,idle,0,,100
20203,20,2,400.0,idle,0,,100
20204,20,2,400.0,idle,0,,100
20205,20,2,400.0,idle,0,,100
20206,20,2,400.0,idle,0,,100
20207,20,2,400.0,idle,0,,100
20208,20,2,400.0,idle,1,,92
20209,20,2,400.0,idle,1,,33
